class,f1__Step 1 — Alignment metrics (LogReg),"f1__Step 4 — Decision fusion MIN(ECG, PCG)",f1__Step 5 — Feature fusion (ECG SQIs + PCG SQIs),precision__Step 1 — Alignment metrics (LogReg),"precision__Step 4 — Decision fusion MIN(ECG, PCG)",precision__Step 5 — Feature fusion (ECG SQIs + PCG SQIs),sensitivity_recall__Step 1 — Alignment metrics (LogReg),"sensitivity_recall__Step 4 — Decision fusion MIN(ECG, PCG)",sensitivity_recall__Step 5 — Feature fusion (ECG SQIs + PCG SQIs),specificity__Step 1 — Alignment metrics (LogReg),"specificity__Step 4 — Decision fusion MIN(ECG, PCG)",specificity__Step 5 — Feature fusion (ECG SQIs + PCG SQIs)
high_quality,0.3291139240506329,0.07017543859649122,0.594059405940594,0.52,0.6666666666666666,0.6382978723404256,0.24074074074074073,0.037037037037037035,0.5555555555555556,0.8518518518518519,0.9876543209876543,0.7901234567901234
low_quality,0.5679012345679013,0.49557522123893805,0.6875000000000001,0.4339622641509434,0.32941176470588235,0.6111111111111112,0.8214285714285714,1.0,0.7857142857142857,0.719626168224299,0.4672897196261682,0.8691588785046729
uncertain,0.6909090909090909,0.66,0.6857142857142857,0.6666666666666666,0.7021276595744681,0.6923076923076923,0.7169811320754716,0.6226415094339622,0.6792452830188679,0.7682926829268293,0.8292682926829268,0.8048780487804879
