ID,Auscultation_Point_x,y_3class_str,seSQI,cpSQI,pr100_200SQI,pr200_400SQI,mean_133_267,median_133_267,max_600_733,diff_peak_sqi,svdSQI
60,AV,uncertain,0.0743099354035484,0.025129424816609958,0.6541430298941561,0.14268558825067948,2.7529642581939697,2.710122585296631,-2.056675434112549,9.521484375,0.061381796094469115
60,MV,uncertain,0.1317603190975391,0.11229112087523907,0.6350155379277609,0.113900450709243,1.7826147079467773,1.7661998271942139,-1.128565788269043,1.0986328125,0.045202559352329204
60,PV,uncertain,0.15127816583628512,0.09223742124059915,0.6381899585057043,0.10729517079876504,2.0890722274780273,2.3052589893341064,-2.615844249725342,94.1162109375,0.08187997467276364
60,TV,uncertain,0.15257500058134546,0.24680602160395862,0.7115533632642386,0.03994020525971155,2.033048629760742,1.848844289779663,-0.8964539170265198,8.7890625,0.040218513479516604
61,AV,low_quality,0.08522924056323097,0.15282067616103645,0.4416121930647537,0.02982299245979576,1.4792516231536865,1.3790781497955322,-1.6204851865768433,5.126953125,0.028321892731351942
61,MV,low_quality,0.1970734640926933,0.19666752127157594,0.4517165995906208,0.02477833407253399,1.7454346418380737,1.6569474935531616,-2.0148184299468994,3.2958984375,0.04820013662744374
61,PV,uncertain,0.12647801910687165,0.12491733383990312,0.49690004398990334,0.04779507970762184,1.5666474103927612,1.464207410812378,-1.7643275260925293,5.4931640625,0.10809561876977909
61,TV,low_quality,0.2867765575916132,0.41518881109386674,0.38425744585988086,0.027796638809665694,0.4223930537700653,0.326183557510376,-4.627511501312256,1.0986328125,0.033145202592245265
62,AV,low_quality,0.16068794449004462,0.08007577252555184,0.6675898574289904,0.01761204620910592,0.09195634722709656,0.02238284796476364,-4.926214218139648,3.662109375,0.36422982211065213
62,MV,uncertain,0.14082953447677973,0.05136789013114556,0.6724665820185145,0.07733568410254922,0.4693244397640228,0.27528664469718933,-2.071153402328491,3.662109375,0.28888642607824316
62,PV,low_quality,0.1911759460114118,0.08647967267497858,0.41037075468312517,0.01832063599695191,1.4071626663208008,1.4415093660354614,-2.0001721382141113,2.9296875,0.23131389514540482
62,TV,low_quality,0.21918307518646066,0.06979002829628747,0.8922325902581512,0.0321530437207148,2.3172199726104736,2.049379348754883,-1.5243529081344604,0.732421875,0.23958928163194096
63,AV,uncertain,0.15741812684204745,0.011996899801580259,0.5454080391888462,0.03743311959183831,2.1114799976348877,2.1476542949676514,-0.4836103916168213,1.0986328125,0.1011194004044083
63,MV,uncertain,0.145626570192348,0.2367102843154279,0.5731421376027357,0.04466650122587783,1.7232511043548584,1.5438287258148193,-1.0574650764465332,0.732421875,0.06302736123499678
63,PV,uncertain,0.12950132823804753,0.04081914145161897,0.4579606135651713,0.07404314871981905,1.6215778589248657,1.5354470014572144,-1.3383355140686035,1.0986328125,0.043390497012367316
63,TV,uncertain,0.17669630346267992,0.08274907296795041,0.5877476612558935,0.05601779512733266,1.4627288579940796,1.2285523414611816,-0.7517852783203125,42.48046875,0.3011999932931097
